Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","java.net (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\package-summary.html","HTML","19596","Tue, 21 Jun 2005 02:48:56 GMT","200 OK","0",""
"Parsed","","http://java.sun.com/j2se/1.4.2/docs/api/stylesheet.css","../java.sun.com\j2se\1.4.2\docs\api\stylesheet.css","HTML","1202","Wed, 26 Nov 2003 03:01:09 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","Uses of Package java.net (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-use.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\package-use.html","HTML","43565","Tue, 10 Jan 2006 05:27:19 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","java.net Class Hierarchy (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-tree.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\package-tree.html","HTML","14954","Tue, 21 Jun 2005 03:17:14 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","ContentHandlerFactory (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/ContentHandlerFactory.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\ContentHandlerFactory.html","HTML","10477","Tue, 21 Jun 2005 04:02:04 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","DatagramSocketImplFactory (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/DatagramSocketImplFactory.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\DatagramSocketImplFactory.html","HTML","9926","Tue, 21 Jun 2005 03:42:35 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","FileNameMap (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/FileNameMap.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\FileNameMap.html","HTML","9687","Tue, 21 Jun 2005 03:02:31 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","SocketImplFactory (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/SocketImplFactory.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\SocketImplFactory.html","HTML","9812","Fri, 17 Jun 2005 23:29:35 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","SocketOptions (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/SocketOptions.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\SocketOptions.html","HTML","32679","Fri, 17 Jun 2005 23:04:35 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
"Parsed","URLStreamHandlerFactory (Java 2 Platform SE v1.4.2)","http://java.sun.com/j2se/1.4.2/docs/api/java/net/URLStreamHandlerFactory.html","../java.sun.com\j2se\1.4.2\docs\api\java\net\URLStreamHandlerFactory.html","HTML","10244","Fri, 17 Jun 2005 20:59:08 GMT","200 OK","1","http://java.sun.com/j2se/1.4.2/docs/api/java/net/package-summary.html"
