Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","Windows XP Tips","http://www.dougknox.com/xp/xp_tips.html","../www.dougknox.com\xp\xp_tips.html","HTML","12951","Tue, 07 Mar 2006 22:08:31 GMT","200 OK","0",""
"Saved","","http://www.dougknox.com/_themes/copy-of-corporate/corbkgnd.gif","../www.dougknox.com\_themes\copy-of-corporate\corbkgnd.gif","Images","1732","Thu, 28 Mar 2002 04:25:12 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Windows XP Security Console","http://www.dougknox.com/xp/utils/xp_securityconsole.htm","../www.dougknox.com\xp\utils\xp_securityconsole.htm","HTML","6022","Tue, 07 Mar 2006 04:30:12 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Advanced Registry Editing","http://www.dougknox.com/xp/tips/xp_adv_reg_editing.htm","../www.dougknox.com\xp\tips\xp_adv_reg_editing.htm","HTML","2436","Sat, 26 Nov 2005 02:16:29 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","How Do I Get the Security tab in Folder Properties","http://www.dougknox.com/xp/tips/xp_security_tab.htm","../www.dougknox.com\xp\tips\xp_security_tab.htm","HTML","2572","Sat, 26 Nov 2005 02:16:21 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Backup and Restore Your OE Mail","http://www.dougknox.com/xp/tips/xp_oe_backup.htm","../www.dougknox.com\xp\tips\xp_oe_backup.htm","HTML","8304","Sat, 26 Nov 2005 02:16:22 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","How Do I See the Security tab in XP Home?","http://www.dougknox.com/xp/tips/xp_home_sectab.htm","../www.dougknox.com\xp\tips\xp_home_sectab.htm","HTML","3675","Sat, 26 Nov 2005 02:16:29 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Windows® XP - Search Problems - Containing Text","http://www.dougknox.com/xp/tips/xp_bad_search.htm","../www.dougknox.com\xp\tips\xp_bad_search.htm","HTML","3421","Sat, 26 Nov 2005 02:16:29 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Repair XP After 98/Me Install","http://www.dougknox.com/xp/tips/xp_repair_9x.htm","../www.dougknox.com\xp\tips\xp_repair_9x.htm","HTML","10154","Sat, 26 Nov 2005 02:16:21 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Repair XP After Windows 2000 Install","http://www.dougknox.com/xp/tips/xp_repair_2k.htm","../www.dougknox.com\xp\tips\xp_repair_2k.htm","HTML","5505","Sat, 26 Nov 2005 02:16:21 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Startup Programs","http://www.dougknox.com/xp/tips/xp_startup_programs.htm","../www.dougknox.com\xp\tips\xp_startup_programs.htm","HTML","2289","Sat, 26 Nov 2005 02:16:21 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Lock the Windows XP Desktop","http://www.dougknox.com/xp/tips/xp_desklock.htm","../www.dougknox.com\xp\tips\xp_desklock.htm","HTML","1937","Sat, 26 Nov 2005 02:16:29 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Disable CD autoplay, completely, in Windows XP Hom","http://www.dougknox.com/xp/tips/cd_autoplay_home.htm","../www.dougknox.com\xp\tips\cd_autoplay_home.htm","HTML","2117","Sat, 26 Nov 2005 02:16:38 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Windows XP","http://www.dougknox.com/xp/tips/winmesspop.htm","../www.dougknox.com\xp\tips\winmesspop.htm","HTML","3063","Sat, 26 Nov 2005 02:16:29 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","To Disable CD autoplay","http://www.dougknox.com/xp/tips/cd_autoplay_pro.htm","../www.dougknox.com\xp\tips\cd_autoplay_pro.htm","HTML","1420","Sat, 26 Nov 2005 02:16:29 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Disable Windows Keys","http://www.dougknox.com/xp/scripts_desc/disable_win_logo_keys.htm","../www.dougknox.com\xp\scripts_desc\disable_win_logo_keys.htm","HTML","2315","Sat, 26 Nov 2005 02:17:16 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
"Parsed","Outlook Express keeps prompting for your password","http://www.dougknox.com/xp/tips/xp_oe_passwords.htm","../www.dougknox.com\xp\tips\xp_oe_passwords.htm","HTML","4910","Sat, 26 Nov 2005 02:16:22 GMT","200 OK","1","http://www.dougknox.com/xp/xp_tips.html"
